"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.85358e+06,2.73896e+06,36,4.72028e+06,4.47131e+06,65,-16323,5036,0,-3128,1080,256,0,230,-7519,1298,0,2826,1691,0,0
3.86988e+06,3.44302e+06,43,3.68148e+06,3.29769e+06,68,-18225,4919,0,-2816,-306,0,0,232,-5362,1413,0,2921,2323,0,0
3.02954e+06,2.72488e+06,34,2.67175e+06,2.32439e+06,68,-5735,6823,0,-883,-185,26,0,234,3723,7263,0,3436,3643,0,0
4.07231e+06,3.49032e+06,44,4.82995e+06,4.46001e+06,67,-2333,8049,0,1153,-32,77,0,236,315,1850,0,2267,3863,0,0
3.13196e+06,2.8505e+06,37,3.63029e+06,3.30737e+06,63,-10730,8003,0,-10796,-388,24,0,238,-985,2434,0,1169,2104,0,0
2.7058e+06,2.31935e+06,32,4.86842e+06,4.60259e+06,54,-9185,5246,0,-3108,-351,0,0,239,1440,2022,0,2434,2300,0,0
2.50241e+06,2.4062e+06,36,2.6354e+06,2.22729e+06,82,11905,10468,8,3233,-35078,0,0,241,4570,3781,0,172,2289,0,0
2.59902e+06,2.43374e+06,32,3.47438e+06,3.35034e+06,59,-16154,7817,0,-5923,523,182,0,244,-187,3277,0,1694,1940,0,0
3.35169e+06,2.91431e+06,37,5.78587e+06,5.46869e+06,64,-7030,13032,8,-4102,-7,49,0,246,-139,2253,0,3698,2424,0,0
2.45306e+06,2.34931e+06,33,3.24736e+06,3.10986e+06,61,-2496,8646,0,-7509,-198,40,0,247,-2620,574,0,599,1632,0,0
3.03052e+06,2.7193e+06,34,5.23575e+06,4.7674e+06,62,-3202,6017,0,-1623,-239,9,0,250,-3451,1774,0,421,958,0,0
1.77029e+06,1.77315e+06,26,2.78424e+06,2.74883e+06,35,3831,15322,10,5451,-64,45,0,251,3897,3246,0,3454,2797,0,0
