"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.91535e+06,2.71253e+06,40,2.43633e+06,2.12594e+06,67,6517,18010,17,4796,-22000,0,0,6804,91606,72670,26,8206,6246,0,13.4432
2.90468e+06,2.76753e+06,36,3.67296e+06,3.34978e+06,64,25298,21499,35,2222,2102,577,0,6810,65455,46446,29,5036,3782,0,13.4432
2.17076e+06,2.04871e+06,29,3.22435e+06,2.69263e+06,67,23338,36691,17,11955,-171,11,0,6998,161667,155957,29,10431,10193,3,14.4773
2.83438e+06,2.57399e+06,35,4.42028e+06,3.86668e+06,60,17208,14246,11,7668,1180,326,0,7037,26643,20212,16,12473,9769,0,14.4773
2.50817e+06,2.36469e+06,32,2.07892e+06,1.83475e+06,60,18008,18977,15,2652,3275,889,0,7086,54498,40950,25,5607,3858,0,14.4773
2.83596e+06,2.60432e+06,33,1.97491e+06,1.90167e+06,62,709,9866,0,-1450,-57,118,0,7119,42903,36589,22,5396,4695,0,14.4773
3.8779e+06,3.63774e+06,43,4.91109e+06,4.37696e+06,69,44888,22669,44,20575,35344,7371,0,7201,31070,17923,18,11300,8087,0,14.4773
3.12716e+06,2.61819e+06,37,3.31476e+06,2.75387e+06,66,199312,213918,30,103846,-207,0,0,7220,31487,17330,20,17126,13311,12,14.4773
3.45239e+06,3.37477e+06,32,4.94832e+06,8.33156e+06,61,320370,371327,31,157368,-4246,0,0,7267,3.5329e+06,3.18548e+06,64,214438,191367,29,14.4773
3.79311e+06,3.15919e+06,48,4.96567e+06,8.32074e+06,65,192308,223076,28,93562,-242,4,0,7437,3.8211e+06,3.53198e+06,73,200355,182848,29,15.5114
3.86101e+06,3.61259e+06,43,4.93266e+06,8.32903e+06,79,94896,112210,26,39713,-126,59,0,7444,30701,25174,18,8071,6057,0,15.5114
2.65581e+06,1.98224e+06,37,4.7935e+06,4.0456e+06,67,12648,15191,17,2688,-202,44,0,7493,28418,17870,19,7705,4575,0,15.5114
2.91932e+06,2.60522e+06,34,5.13756e+06,8.31379e+06,65,273946,321384,33,134160,4791,1281,0,7495,99364,88764,26,42775,39229,21,15.5114
2.46314e+06,2.36479e+06,33,2.33033e+06,2.33624e+06,51,2298,10538,4,-1013,-249,24,0,7526,64506,50001,26,7637,3611,0,15.5114
2.77202e+06,2.67064e+06,36,2.37769e+06,2.35667e+06,66,10291,9969,0,1849,27294,5718,0,7858,33483,25664,19,2007,2343,0,15.5114
3.30176e+06,3.0969e+06,34,5.44909e+06,8.24189e+06,64,110617,101464,35,51848,-255,0,0,7898,236376,205819,38,40841,35749,20,15.5114
